Player,Ratio
GG JacksonMEM | PF,8.255
Vlatko CancarDEN | PF,8.255
Jeremy SochanSAS | PF,8.255
R.J. Hampton| SG,8.255
John KoncharMEM | SF,8.255
Georges NiangCLE | PF,8.255
Jordan PooleWAS | SG,8.255
Killian Hayes| PG,8.255
Brandon MillerCHA | SF,7.62
Jalen BrunsonNYK | PG,7.62
Jamal MurrayDEN | PG,7.62
Danilo GallinariMIL | PF,7.62
John CollinsUTA | PF,7.62
Dwight PowellDAL | C,7.62
Cameron JohnsonBKN | PF,7.62
Marcus Morris Sr.CLE | PF,7.62
Oshae BrissettBOS | PF,7.62
Payton PritchardBOS | PG,7.62
Chris PaulGSW | PG,7.62
Seth CurryCHA | SG,7.62
Terance MannLAC | SF,7.62
Tyrese HaliburtonIND | PG,7.62
Craig Porter Jr.CLE | PG,7.62
Day'Ron SharpeBKN | C,7.62
Doug McDermottIND | SF,7.62
Keegan MurraySAC | PF,7.62
Markieff MorrisDAL | C,7.62
Reggie Bullock Jr.HOU | SF,7.62
Tre JonesSAS | PG,7.62
Charles Bediako| C,7.62
Isaiah LiversWAS | SF,7.62
Jock LandaleHOU | C,7.62
Julian ChampagnieSAS | SF,7.62
Vasilije MicicCHA | PG,7.62
Nick Smith Jr.CHA | SG,7.62
Jake LaRaviaMEM | SF,6.985
Malik MonkSAC | SG,6.985
Mike MuscalaOKC | C,6.985
Patty MillsMIA | PG,6.985
Monte MorrisMIN | PG,6.985
Zach CollinsSAS | C,6.985
Andrew NembhardIND | PG,6.985
Isaiah HartensteinNYK | C,6.985
Landry ShametWAS | SG,6.985
Nikola JovicMIA | PF,6.985
Cam WhitmoreHOU | SF,6.985
Gradey DickTOR | SG,6.35
Jordan HawkinsNOP | SG,6.35
Jonathan IsaacORL | PF,6.35
Ben SheppardIND | SG,6.35
Alperen SengunHOU | C,6.35
Donte DiVincenzoNYK | SG,6.35
Jacob GilyardBKN | PG,6.35
Joe InglesORL | SF,6.35
Cole AnthonyORL | PG,6.35
Jusuf NurkicPHX | C,6.35
Franz WagnerORL | SF,6.35
Trae YoungATL | PG,6.35
Tim Hardaway Jr.DAL | SG,6.35
Jalen WilsonBKN | SF,6.35
Sam HauserBOS | PF,6.35
Jakob PoeltlTOR | C,6.35
Ousmane DiengOKC | SF,6.35
Max StrusCLE | SG,6.35
Omer YurtsevenUTA | C,6.35
Jabari Smith Jr.HOU | PF,6.35
Yuta WatanabeMEM | SF,5.715
Kyrie IrvingDAL | PG,5.715
Kyle LowryPHI | PG,5.715
Michael Porter Jr.DEN | PF,5.715
Jalen SuggsORL | PG,5.08
Jeremiah Robinson-EarlNOP | PF,5.08
Alex CarusoCHI | PG,5.08
Malachi FlynnDET | PG,5.08
Jose AlvaradoNOP | PG,5.08
Drew EubanksPHX | C,5.08
Keyonte GeorgeUTA | SG,5.08
Jaden McDanielsMIN | SF,5.08
Cole SwiderMIA | PF,5.08
LaMelo BallCHA | PG,5.08
Ziaire WilliamsMEM | SF,5.08
Danuel House Jr.| SF,5.08
Chris DuarteSAC | SG,5.08
Fred VanVleetHOU | PG,5.08
Moritz WagnerORL | C,5.08
Brandin PodziemskiGSW | SG,4.445
Anthony BlackORL | PG,4.445
Austin ReavesLAL | SG,4.445
Dennis Smith Jr.BKN | PG,4.445
Coby WhiteCHI | PG,3.81
Marvin Bagley IIIWAS | PF,3.81
